email,current_placement,first_choice,second_choice,third_choice
user0@example.com,Addington Hospital,Dihlabeng Hospital,Livingstone Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1@example.com,Addington Hospital,Witbank Hospital,Frere Hospital,New Somerset Hospital
user2@example.com,Addington Hospital,Robert Mangaliso Sobukwe Hospital,Paarl Hospital,Dihlabeng Hospital
user3@example.com,Addington Hospital,Leratong Hospital,"Ngwelezana Hospital, Empangeni",General Justice Gizenga Mpanza Hospital
user4@example.com,Addington Hospital,Witbank Hospital,Klerksdorp-Tshepong Tertiary Hospital,Worcester Hospital
user5@example.com,Addington Hospital,Frere Hospital,Sebokeng Hospital,Potchefstroom Hospital
user6@example.com,Addington Hospital,General Justice Gizenga Mpanza Hospital,Kalafong Hospital,Karl Bremer Hospital
user7@example.com,Addington Hospital,"Ngwelezana Hospital, Empangeni",Lebowakgomo Hospital,Frere Hospital
user8@example.com,Addington Hospital,Klerksdorp-Tshepong Tertiary Hospital,Livingstone Hospital,Paarl Hospital
user9@example.com,Addington Hospital,Cofimvaba Hospital,Frere Hospital,Sebokeng Hospital
user10@example.com,Addington Hospital,King Edward VIII Hospital,Kalafong Hospital,Rob Ferreira Hospital
user11@example.com,Addington Hospital,Nelson Mandela Academic Hospital,Livingstone Hospital,Paarl Hospital
user12@example.com,Addington Hospital,Livingstone Hospital,Job Shimankana Tabane Hospital,Rob Ferreira Hospital
user13@example.com,Addington Hospital,Pelonomi Hospital,Frere Hospital,Groote Schuur Hospital
user14@example.com,Addington Hospital,Frere Hospital,George Hospital,Letaba Hospital
user15@example.com,Addington Hospital,Leratong Hospital,Themba Hospital,Grey's Hospital
user16@example.com,Addington Hospital,Leratong Hospital,Klerksdorp-Tshepong Tertiary Hospital,Paarl Hospital
user17@example.com,Addington Hospital,Sebokeng Hospital,"Madadeni Hospital, New Castle",Prince Mshiyeni Memorial Hospital
user18@example.com,Addington Hospital,Ermelo Hospital,Themba Hospital,Grey's Hospital
user19@example.com,Addington Hospital,Job Shimankana Tabane Hospital,Tshilidzine Hospital,Kalafong Hospital
user20@example.com,Addington Hospital,Potchefstroom Hospital,Leratong Hospital,George Hospital
user21@example.com,Addington Hospital,Leratong Hospital,Livingstone Hospital,Grey's Hospital
user22@example.com,Addington Hospital,Mapulaneng Hospital,Leratong Hospital,Port Shepstone Hospital
user23@example.com,Addington Hospital,Livingstone Hospital,Rob Ferreira Hospital,Paarl Hospital
user24@example.com,Addington Hospital,Robert Mangaliso Sobukwe Hospital,Prince Mshiyeni Memorial Hospital,Kalafong Hospital
user25@example.com,Addington Hospital,Prince Mshiyeni Memorial Hospital,Paarl Hospital,Klerksdorp-Tshepong Tertiary Hospital
user26@example.com,Addington Hospital,Leratong Hospital,Witbank Hospital,Dihlabeng Hospital
user27@example.com,Addington Hospital,Witbank Hospital,Ladysmith Hospital,Nelson Mandela Academic Hospital
user28@example.com,Addington Hospital,Livingstone Hospital,Prince Mshiyeni Memorial Hospital,George Hospital
user29@example.com,Addington Hospital,Mokopane Hospital,Bongani Hospital,Port Shepstone Hospital
user30@example.com,Addington Hospital,Leratong Hospital,Tygerberg Hospital,Dr George Mukhari Hospital
user31@example.com,Addington Hospital,Job Shimankana Tabane Hospital,Tambo Memorial Hospital,Grey's Hospital
user32@example.com,Addington Hospital,Grey's Hospital,George Hospital,Paarl Hospital
user33@example.com,Addington Hospital,Paarl Hospital,Helen Joseph Hospital,George Hospital
user34@example.com,Addington Hospital,Livingstone Hospital,Klerksdorp-Tshepong Tertiary Hospital,Rob Ferreira Hospital
user35@example.com,Addington Hospital,Rob Ferreira Hospital,Frere Hospital,Tembisa Hospital
user36@example.com,Addington Hospital,General Justice Gizenga Mpanza Hospital,"Madadeni Hospital, New Castle","Ngwelezana Hospital, Empangeni"
user37@example.com,Addington Hospital,Tygerberg Hospital,Mahikeng Provincial Hospital,Helderberg Hospital
user38@example.com,Addington Hospital,Worcester Hospital,Potchefstroom Hospital,General Justice Gizenga Mpanza Hospital
user39@example.com,Addington Hospital,Klerksdorp-Tshepong Tertiary Hospital,Thelle Mogoerane Regional Hospital,Job Shimankana Tabane Hospital
user40@example.com,Addington Hospital,Mapulaneng Hospital,Livingstone Hospital,Thelle Mogoerane Regional Hospital
user41@example.com,Addington Hospital,Worcester Hospital,Job Shimankana Tabane Hospital,Livingstone Hospital
user42@example.com,Addington Hospital,Chris Hani Baragwanath Hospital,Helen Joseph Hospital,Witbank Hospital
user43@example.com,Addington Hospital,Mankweng Hospital,Leratong Hospital,Job Shimankana Tabane Hospital
user44@example.com,Addington Hospital,Mitchells Plain Hospital,Kalafong Hospital,Mokopane Hospital
user45@example.com,Addington Hospital,Karl Bremer Hospital,Mofumahadi Manapo Mopeli Hospital,Leratong Hospital
user46@example.com,Addington Hospital,"Madadeni Hospital, New Castle",St Rita's Hospital,General Justice Gizenga Mpanza Hospital
user47@example.com,Addington Hospital,Potchefstroom Hospital,Far East Rand Hospital,Themba Hospital
user48@example.com,Addington Hospital,Grey's Hospital,Potchefstroom Hospital,Frere Hospital
user49@example.com,Addington Hospital,Witbank Hospital,"Ngwelezana Hospital, Empangeni","Madadeni Hospital, New Castle"
user50@example.com,Addington Hospital,Tygerberg Hospital,Groote Schuur Hospital,Worcester Hospital
user51@example.com,Addington Hospital,Rob Ferreira Hospital,Robert Mangaliso Sobukwe Hospital,General Justice Gizenga Mpanza Hospital
user52@example.com,Addington Hospital,Worcester Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital
