email,current_placement,first_choice,second_choice,third_choice
user0@example.com,Teal,Pink,Magenta,Green
user1@example.com,Purple,Gray,Orange,Red
user2@example.com,Purple,Red,Cyan,Gray
user3@example.com,Magenta,Purple,Blue,Pink
user4@example.com,Beige,Teal,Orange,Green
user5@example.com,Teal,Green,Gray,Pink
user6@example.com,Pink,Brown,Blue,Gray
user7@example.com,Lime,Teal,Purple,Cyan
user8@example.com,Blue,Lime,Pink,Cyan
user9@example.com,Yellow,Pink,Orange,Blue
user10@example.com,Lime,Teal,Pink,Cyan
user11@example.com,Yellow,Pink,Teal,Brown
user12@example.com,Teal,Beige,Pink,Gray
user13@example.com,Blue,Red,Pink,Yellow
user14@example.com,Green,Yellow,Teal,Blue
user15@example.com,Green,Teal,Brown,Lime
user16@example.com,Beige,Yellow,Lime,Blue
user17@example.com,Orange,Yellow,Red,Lime
user18@example.com,Green,Pink,Magenta,Blue
user19@example.com,Cyan,Purple,Pink,Yellow
user20@example.com,Teal,Orange,Green,Lime
user21@example.com,Gray,Blue,Cyan,Yellow
user22@example.com,Gray,Beige,Green,Orange
user23@example.com,Green,Gray,Teal,Magenta
user24@example.com,Beige,Cyan,Yellow,Teal
user25@example.com,Pink,Red,Blue,Magenta
user26@example.com,Green,Orange,Brown,Lime
user27@example.com,Yellow,Magenta,Gray,Brown
user28@example.com,Orange,Beige,Blue,Gray
user29@example.com,Gray,Red,Pink,Brown
user30@example.com,Brown,Red,Pink,Gray
user31@example.com,Green,Beige,Magenta,Brown
user32@example.com,Orange,Red,Yellow,Green
user33@example.com,Magenta,Blue,Lime,Pink
user34@example.com,Blue,Teal,Red,Purple
user35@example.com,Cyan,Yellow,Brown,Green
user36@example.com,Yellow,Gray,Cyan,Pink
user37@example.com,Lime,Purple,Magenta,Blue
user38@example.com,Purple,Red,Green,Orange
user39@example.com,Blue,Orange,Purple,Teal
user40@example.com,Gray,Yellow,Teal,Red
user41@example.com,Orange,Pink,Red,Green
user42@example.com,Beige,Teal,Brown,Orange
user43@example.com,Lime,Green,Teal,Purple
user44@example.com,Brown,Lime,Beige,Blue
user45@example.com,Teal,Beige,Yellow,Cyan
user46@example.com,Pink,Cyan,Beige,Brown
user47@example.com,Red,Lime,Orange,Brown
user48@example.com,Gray,Red,Pink,Lime
user49@example.com,Brown,Yellow,Green,Red
user50@example.com,Pink,Blue,Teal,Lime
user51@example.com,Brown,Beige,Magenta,Gray
user52@example.com,Teal,Blue,Gray,Lime
user53@example.com,Orange,Green,Pink,Beige
user54@example.com,Pink,Blue,Green,Purple
user55@example.com,Pink,Brown,Orange,Teal
user56@example.com,Cyan,Brown,Red,Lime
user57@example.com,Lime,Red,Purple,Blue
user58@example.com,Blue,Yellow,Magenta,Purple
user59@example.com,Yellow,Cyan,Beige,Magenta
user60@example.com,Yellow,Green,Blue,Magenta
user61@example.com,Pink,Cyan,Brown,Gray
user62@example.com,Pink,Green,Beige,Magenta
user63@example.com,Orange,Beige,Lime,Green
user64@example.com,Brown,Cyan,Orange,Beige
user65@example.com,Red,Yellow,Orange,Gray
user66@example.com,Gray,Pink,Magenta,Teal
user67@example.com,Pink,Purple,Orange,Beige
user68@example.com,Lime,Cyan,Purple,Brown
user69@example.com,Cyan,Magenta,Green,Pink
user70@example.com,Blue,Lime,Gray,Purple
user71@example.com,Beige,Magenta,Blue,Yellow
user72@example.com,Gray,Pink,Brown,Blue
user73@example.com,Red,Purple,Lime,Green
user74@example.com,Red,Orange,Magenta,Blue
user75@example.com,Yellow,Red,Green,Magenta
user76@example.com,Teal,Blue,Green,Brown
user77@example.com,Cyan,Pink,Magenta,Beige
user78@example.com,Blue,Brown,Beige,Magenta
user79@example.com,Beige,Teal,Blue,Yellow
user80@example.com,Orange,Purple,Brown,Red
user81@example.com,Brown,Beige,Green,Cyan
user82@example.com,Cyan,Green,Gray,Pink
user83@example.com,Pink,Beige,Gray,Blue
user84@example.com,Magenta,Teal,Gray,Blue
user85@example.com,Purple,Magenta,Teal,Pink
user86@example.com,Beige,Orange,Red,Green
user87@example.com,Pink,Blue,Beige,Cyan
user88@example.com,Purple,Orange,Teal,Green
user89@example.com,Lime,Cyan,Gray,Yellow
user90@example.com,Lime,Red,Yellow,Brown
user91@example.com,Teal,Gray,Green,Brown
user92@example.com,Blue,Orange,Purple,Brown
user93@example.com,Beige,Gray,Pink,Yellow
user94@example.com,Green,Magenta,Gray,Pink
user95@example.com,Gray,Pink,Blue,Teal
user96@example.com,Yellow,Beige,Magenta,Green
user97@example.com,Cyan,Lime,Pink,Blue
user98@example.com,Teal,Lime,Gray,Yellow
user99@example.com,Brown,Teal,Blue,Orange
user100@example.com,Red,Lime,Beige,Cyan
user101@example.com,Blue,Lime,Gray,Brown
user102@example.com,Green,Red,Magenta,Purple
user103@example.com,Brown,Lime,Cyan,Beige
user104@example.com,Yellow,Green,Gray,Brown
user105@example.com,Purple,Blue,Red,Orange
user106@example.com,Brown,Gray,Green,Blue
user107@example.com,Lime,Magenta,Blue,Pink
user108@example.com,Beige,Blue,Yellow,Cyan
user109@example.com,Pink,Green,Brown,Gray
user110@example.com,Yellow,Cyan,Orange,Gray
user111@example.com,Orange,Yellow,Magenta,Purple
user112@example.com,Brown,Pink,Green,Blue
user113@example.com,Yellow,Orange,Magenta,Pink
user114@example.com,Blue,Purple,Red,Brown
user115@example.com,Lime,Magenta,Gray,Purple
user116@example.com,Yellow,Brown,Blue,Cyan
user117@example.com,Teal,Beige,Purple,Yellow
user118@example.com,Purple,Orange,Blue,Magenta
user119@example.com,Purple,Orange,Red,Magenta
user120@example.com,Cyan,Lime,Blue,Red
user121@example.com,Red,Lime,Blue,Purple
user122@example.com,Red,Beige,Green,Blue
user123@example.com,Teal,Pink,Beige,Magenta
user124@example.com,Red,Magenta,Blue,Brown
user125@example.com,Purple,Yellow,Pink,Magenta
user126@example.com,Brown,Blue,Cyan,Beige
user127@example.com,Purple,Magenta,Red,Blue
user128@example.com,Purple,Pink,Teal,Beige
user129@example.com,Beige,Pink,Teal,Lime
user130@example.com,Lime,Yellow,Orange,Teal
user131@example.com,Red,Blue,Purple,Orange
user132@example.com,Cyan,Purple,Beige,Pink
user133@example.com,Orange,Brown,Pink,Teal
user134@example.com,Orange,Teal,Pink,Green
user135@example.com,Gray,Green,Blue,Purple
user136@example.com,Blue,Brown,Pink,Orange
user137@example.com,Red,Green,Teal,Pink
user138@example.com,Red,Purple,Pink,Beige
user139@example.com,Brown,Blue,Green,Gray
user140@example.com,Gray,Magenta,Brown,Orange
user141@example.com,Orange,Green,Beige,Teal
user142@example.com,Green,Brown,Orange,Red
user143@example.com,Magenta,Purple,Brown,Beige
user144@example.com,Teal,Purple,Cyan,Blue
user145@example.com,Teal,Orange,Cyan,Green
user146@example.com,Pink,Red,Beige,Yellow
user147@example.com,Beige,Gray,Pink,Cyan
user148@example.com,Brown,Yellow,Magenta,Purple
user149@example.com,Blue,Teal,Lime,Purple
user150@example.com,Teal,Yellow,Gray,Brown
user151@example.com,Magenta,Lime,Purple,Beige
user152@example.com,Teal,Pink,Blue,Lime
user153@example.com,Gray,Red,Green,Cyan
user154@example.com,Orange,Pink,Brown,Magenta
user155@example.com,Red,Brown,Green,Lime
user156@example.com,Lime,Beige,Green,Yellow
user157@example.com,Teal,Purple,Green,Pink
user158@example.com,Orange,Beige,Yellow,Lime
user159@example.com,Teal,Yellow,Cyan,Red
user160@example.com,Purple,Pink,Beige,Gray
user161@example.com,Lime,Blue,Yellow,Purple
user162@example.com,Brown,Purple,Gray,Beige
user163@example.com,Red,Yellow,Gray,Lime
user164@example.com,Pink,Cyan,Blue,Teal
user165@example.com,Red,Teal,Beige,Purple
user166@example.com,Gray,Purple,Cyan,Blue
user167@example.com,Magenta,Teal,Beige,Blue
user168@example.com,Magenta,Blue,Pink,Cyan
user169@example.com,Beige,Teal,Green,Pink
user170@example.com,Beige,Blue,Pink,Teal
user171@example.com,Yellow,Beige,Green,Orange
user172@example.com,Beige,Orange,Teal,Brown
user173@example.com,Yellow,Beige,Orange,Purple
user174@example.com,Pink,Blue,Yellow,Purple
user175@example.com,Yellow,Orange,Teal,Gray
user176@example.com,Purple,Lime,Orange,Beige
user177@example.com,Orange,Teal,Green,Pink
user178@example.com,Pink,Lime,Beige,Yellow
user179@example.com,Purple,Cyan,Lime,Gray
user180@example.com,Magenta,Gray,Cyan,Yellow
user181@example.com,Brown,Red,Green,Orange
user182@example.com,Gray,Green,Lime,Orange
user183@example.com,Green,Lime,Purple,Blue
user184@example.com,Purple,Pink,Teal,Yellow
user185@example.com,Cyan,Red,Lime,Green
user186@example.com,Yellow,Green,Beige,Pink
user187@example.com,Brown,Lime,Magenta,Teal
user188@example.com,Cyan,Gray,Magenta,Brown
user189@example.com,Green,Yellow,Beige,Magenta
user190@example.com,Teal,Blue,Gray,Beige
user191@example.com,Magenta,Cyan,Blue,Brown
